filters,kernel_size,num_layers,batch_size,epochs,val_pr_auc
64,5,2,256,200,0.9046665372151885
128,5,2,512,200,0.9015337980446919
128,5,2,256,200,0.8993186434658341
128,5,2,128,200,0.8953666339234919
64,5,2,128,200,0.8932770391052482
64,5,2,512,200,0.8929978916091679
64,3,2,512,200,0.8895485228961177
32,5,2,512,200,0.8894525914350633
128,5,1,256,200,0.8889247301893703
128,3,2,512,200,0.8881842784725391
64,5,1,512,200,0.8881697423677741
128,5,1,512,200,0.8872475449772199
128,5,1,128,200,0.8862021315551887
32,5,1,256,200,0.8848834225190814
128,3,2,128,200,0.8840548287262363
32,5,2,256,200,0.8839168507144178
64,3,2,128,200,0.8833018212347055
64,3,2,256,200,0.8820488053805802
128,3,1,256,200,0.8815169606351327
128,3,2,256,200,0.8807291873749599
32,5,1,512,200,0.880682196898567
16,5,2,512,200,0.880577001228923
32,3,2,512,200,0.8797323242443629
64,5,1,256,200,0.8791179724485335
128,3,1,128,200,0.879068819888559
128,2,2,256,200,0.8789943532107157
32,3,2,256,200,0.8786601496794727
128,2,2,512,200,0.8777807282434479
128,2,2,128,200,0.8777121824772406
64,3,1,128,200,0.8773434087801822
64,3,1,512,200,0.8770361582064725
128,3,1,512,200,0.8767931029736694
64,5,1,128,200,0.876377545397995
16,5,2,256,200,0.8755697151702195
32,5,1,128,200,0.8753105412747164
64,2,2,256,200,0.8752209102994394
64,2,2,512,200,0.8750143664100409
16,5,1,128,200,0.8735187277493862
16,3,2,256,200,0.8733961524277225
16,5,1,512,200,0.8730228101544067
32,5,2,128,200,0.8726926339955259
64,3,1,256,200,0.8710796736585028
32,2,2,256,200,0.8708359809514212
16,3,2,512,200,0.8703792073486258
16,5,2,128,200,0.869088630041238
128,2,1,128,200,0.8682384361532345
128,2,1,512,200,0.8678772561351913
32,3,1,128,200,0.8666986895790277
32,3,1,512,200,0.8662704507305626
64,2,2,128,200,0.8660508064190365
32,3,2,128,200,0.865710066557168
32,2,2,512,200,0.8654154454390623
32,2,1,256,200,0.864771130877795
128,2,1,256,200,0.863858660470098
16,3,2,128,200,0.863467705660262
16,5,1,256,200,0.8628446567943071
64,2,1,128,200,0.8618211855193483
32,2,1,512,200,0.8617413804350089
64,2,1,512,200,0.8610482000001338
64,2,1,256,200,0.8607018302196234
16,3,1,512,200,0.8598295584204483
32,3,1,256,200,0.8577993836681654
16,3,1,256,200,0.8526212226157271
32,2,2,128,200,0.8517372000383864
16,3,1,128,200,0.8517125571801214
32,2,1,128,200,0.8515265981177453
16,2,2,128,200,0.8470477626808106
16,2,1,512,200,0.8459200750552067
16,2,1,128,200,0.8438045918645788
16,2,2,512,200,0.8429964216331889
16,2,1,256,200,0.8429660244588637
16,2,2,256,200,0.8382798703026832
